Threshold,Target,Model,Metrics,Accuracy
3dB,BCI,KNN,SignalDetected + DetectedTimePercentage + DetectionRate,0.6190476190476191
3dB,ITR,KNN,SignalDetected + DetectedTimePercentage + DetectionRate,0.38095238095238093
3dB,BCI,KNN,SignalDetected + DetectedTimePercentage + DetectionPctVar,0.6190476190476191
3dB,ITR,KNN,SignalDetected + DetectedTimePercentage + DetectionPctVar,0.3333333333333333
3dB,BCI,KNN,SignalDetected + DetectedTimePercentage + EarlyDetectionRatio,0.5238095238095238
3dB,ITR,KNN,SignalDetected + DetectedTimePercentage + EarlyDetectionRatio,0.2857142857142857
3dB,BCI,KNN,SignalDetected + DetectedTimePercentage + PowerSkewness,0.5714285714285714
3dB,ITR,KNN,SignalDetected + DetectedTimePercentage + PowerSkewness,0.38095238095238093
3dB,BCI,KNN,SignalDetected + DetectedTimePercentage + RobustnessIndex,0.6666666666666666
3dB,ITR,KNN,SignalDetected + DetectedTimePercentage + RobustnessIndex,0.2857142857142857
3dB,BCI,KNN,SignalDetected + DetectedTimePercentage + FreqEntropy,0.6666666666666666
3dB,ITR,KNN,SignalDetected + DetectedTimePercentage + FreqEntropy,0.47619047619047616
3dB,BCI,KNN,SignalDetected + DetectedTimePercentage + StrongResponses,0.6190476190476191
3dB,ITR,KNN,SignalDetected + DetectedTimePercentage + StrongResponses,0.3333333333333333
3dB,BCI,KNN,SignalDetected + DetectionTime + DetectionRate,0.6190476190476191
3dB,ITR,KNN,SignalDetected + DetectionTime + DetectionRate,0.42857142857142855
3dB,BCI,KNN,SignalDetected + DetectionTime + DetectionPctVar,0.42857142857142855
3dB,ITR,KNN,SignalDetected + DetectionTime + DetectionPctVar,0.5238095238095238
3dB,BCI,KNN,SignalDetected + DetectionTime + EarlyDetectionRatio,0.5714285714285714
3dB,ITR,KNN,SignalDetected + DetectionTime + EarlyDetectionRatio,0.42857142857142855
3dB,BCI,KNN,SignalDetected + DetectionTime + PowerSkewness,0.6666666666666666
3dB,ITR,KNN,SignalDetected + DetectionTime + PowerSkewness,0.2857142857142857
3dB,BCI,KNN,SignalDetected + DetectionTime + RobustnessIndex,0.6666666666666666
3dB,ITR,KNN,SignalDetected + DetectionTime + RobustnessIndex,0.38095238095238093
3dB,BCI,KNN,SignalDetected + DetectionTime + FreqEntropy,0.5238095238095238
3dB,ITR,KNN,SignalDetected + DetectionTime + FreqEntropy,0.5238095238095238
3dB,BCI,KNN,SignalDetected + DetectionTime + StrongResponses,0.5238095238095238
3dB,ITR,KNN,SignalDetected + DetectionTime + StrongResponses,0.42857142857142855
3dB,BCI,KNN,SignalDetected + DetectionRate + DetectionPctVar,0.7142857142857143
3dB,ITR,KNN,SignalDetected + DetectionRate + DetectionPctVar,0.5238095238095238
3dB,BCI,KNN,SignalDetected + DetectionRate + EarlyDetectionRatio,0.47619047619047616
3dB,ITR,KNN,SignalDetected + DetectionRate + EarlyDetectionRatio,0.3333333333333333
3dB,BCI,KNN,SignalDetected + DetectionRate + PowerSkewness,0.5238095238095238
3dB,ITR,KNN,SignalDetected + DetectionRate + PowerSkewness,0.5238095238095238
3dB,BCI,KNN,SignalDetected + DetectionRate + RobustnessIndex,0.5238095238095238
3dB,ITR,KNN,SignalDetected + DetectionRate + RobustnessIndex,0.5714285714285714
3dB,BCI,KNN,SignalDetected + DetectionRate + FreqEntropy,0.42857142857142855
3dB,ITR,KNN,SignalDetected + DetectionRate + FreqEntropy,0.5238095238095238
3dB,BCI,KNN,SignalDetected + DetectionRate + StrongResponses,0.5714285714285714
3dB,ITR,KNN,SignalDetected + DetectionRate + StrongResponses,0.38095238095238093
